규모,진원깊이,영향도,위도,경도,cluster,c,cluster_4
4.5,93.453,312,-19.0143,-69.713,1,blue,1
4.4,10.0,298,14.6133,39.9196,1,blue,1
4.4,10.0,298,14.6695,39.8764,1,blue,1
5.1,10.0,400,14.6191,39.9519,1,pink,3
4.8,10.0,354,-22.8009,-12.7928,1,pink,3
4.3,30.087,287,33.4622,133.9125,1,blue,1
4.5,10.0,312,27.953,55.786,1,blue,1
5.1,10.0,407,41.7998,79.5619,1,pink,3
4.6,68.195,326,-4.6412,153.2767,1,blue,1
4.4,10.0,298,41.8759,79.6046,1,blue,1
4.5,10.0,312,-6.2054,142.4142,1,blue,1
4.6,58.011,326,-4.9819,153.4798,1,blue,1
4.5,61.219,312,-30.639,-71.3043,1,blue,1
4.1,528.874,259,-20.8679,-178.6572,2,green,2
5.3,74.573,440,-16.5084,-72.2643,1,pink,3
3.1,147.37,148,52.1401,-175.7206,0,red,0
4.3,10.105,284,44.1862,140.7171,1,blue,1
4.0,202.082,246,36.5728,70.9592,1,blue,1
4.4,10.0,298,35.0836,14.2162,1,blue,1
5.1,30.539,400,29.208,130.6175,1,pink,3
4.6,622.502,326,-18.7419,-177.5917,2,green,2
4.5,35.0,312,29.216,130.5579,1,blue,1
4.4,35.0,298,29.2893,130.4675,1,blue,1
4.3,62.873,284,-28.2662,-177.2545,1,blue,1
4.2,94.18,271,13.2126,143.917,1,blue,1
3.6,89.669,199,52.2979,-173.2997,0,red,0
4.5,238.171,312,-19.0252,169.4274,1,blue,1
4.3,10.0,285,18.8464,-74.1911,1,blue,1
3.9,65.332,234,14.022,145.5894,0,blue,1
5.0,95.838,385,-23.4737,-176.8245,1,pink,3
4.2,10.599,271,20.4783,144.4787,1,blue,1
4.4,10.0,298,30.5427,-42.1938,1,blue,1
4.5,10.067,312,-7.1715,122.4614,1,blue,1
4.3,572.231,284,-19.2734,-177.338,2,green,2
4.6,10.0,326,11.6895,140.9697,1,blue,1
4.2,10.0,272,39.4135,15.1807,1,blue,1
5.2,140.887,419,6.2316,126.1831,1,pink,3
4.5,49.136,312,-3.0102,127.7636,1,blue,1
4.6,126.906,326,6.2459,126.3208,1,blue,1
4.6,245.491,326,-18.8754,169.2904,1,blue,1
4.9,104.677,369,2.0797,127.1383,1,pink,3
4.4,118.128,298,-30.7743,-69.0394,1,blue,1
3.9,10.0,234,50.0676,-179.3937,0,blue,1
4.1,10.0,259,36.3238,22.1285,1,blue,1
4.11,121.0,260,18.4691,-68.729,1,blue,1
4.1,150.726,259,-57.5007,-27.2481,1,blue,1
4.3,10.981,284,14.6756,144.3595,1,blue,1
5.3,10.0,432,-0.2127,97.3082,1,pink,3
4.6,10.0,326,-57.007,-24.9666,1,blue,1
4.6,35.0,326,-60.0,-26.645,1,blue,1
3.77,11.0,219,18.8496,-64.6375,0,red,0
4.4,92.0,298,-27.626,-70.1895,1,blue,1
5.0,10.0,385,-0.2207,97.3016,1,pink,3
5.0,10.0,385,-7.0561,102.806,1,pink,3
4.6,10.0,326,60.6937,-43.9886,1,blue,1
5.3,12.929,432,-45.8405,-76.402,1,pink,3
4.2,152.994,271,0.8108,99.7314,1,blue,1
4.8,10.0,354,-34.0651,77.7691,1,pink,3
4.1,220.634,259,50.5818,153.4522,1,blue,1
4.6,16.955,326,-0.1964,97.2636,1,blue,1
3.7,35.0,211,51.4146,-176.0902,0,red,0
4.2,99.728,271,21.917,94.4673,1,blue,1
5.4,22.64,449,-21.8971,-174.7611,1,pink,3
3.07,13.18,145,18.8508333333333,-65.0306666666667,0,red,0
4.0,38.774,246,29.2691,130.3861,1,blue,1
4.0,215.053,246,0.9992,124.4147,1,blue,1
4.2,139.615,271,22.1303,143.5299,1,blue,1
5.0,35.0,385,-7.9548,128.8795,1,pink,3
4.3,465.778,284,-26.0535,-179.7577,2,green,2
4.4,56.826,298,36.1139,139.8576,1,blue,1
3.7,73.161,211,51.7544,-176.894,0,red,0
4.8,10.0,354,-23.1339,-175.2723,1,pink,3
4.7,10.0,341,18.2186,-103.3672,1,blue,1
4.5,14.666,312,27.0439,141.2072,1,blue,1
3.1,99.462,148,51.7574,178.6153,0,red,0
4.3,123.83,284,-5.0236,-77.3878,1,blue,1
3.11,32.4099998474121,150,19.2036666870117,-155.411163330078,0,red,0
4.18,108.0,272,18.6438,-67.0435,1,blue,1
4.0,248.806,246,18.7532,145.283,1,blue,1
5.2,10.0,416,-52.7091,27.9903,1,pink,3
3.1,74.791,148,51.6138,178.7595,0,red,0
4.2,10.0,271,1.0694,96.9432,1,blue,1
5.2,10.338,417,-14.9955,-75.7501,1,pink,3
4.9,129.931,369,-11.3136,166.5204,1,pink,3
4.4,230.713,298,-24.0355,-67.0785,1,blue,1
4.7,10.0,340,-52.9385,28.5584,1,blue,1
3.03,18.39,141,18.0731666666667,-67.0983333333333,0,red,0
4.4,10.0,298,-0.1974,97.3179,1,blue,1
4.6,10.0,326,-33.6877,57.5022,1,blue,1
4.1,60.358,259,-6.0376,146.1063,1,blue,1
4.0,10.0,246,34.6296,24.8996,1,blue,1
3.1,82.77,148,52.0999,178.5218,0,red,0
4.5,79.194,312,7.1397,126.738,1,blue,1
5.4,35.0,449,-6.7065,155.232,1,pink,3
3.93,24.0,238,19.1631,-66.5251,0,blue,1
4.3,63.787,284,-4.7803,102.7675,1,blue,1
4.1,556.99,259,-19.0419,-177.5423,2,green,2
4.1,255.47,259,-15.3219,-174.8756,1,blue,1
4.7,39.85,340,17.4535,93.4248,1,blue,1
4.1,231.588,259,2.4752,128.6389,1,blue,1
3.14,8.14,161,36.5958333,-121.2001667,0,red,0
4.2,10.0,271,-15.1473,66.7962,1,blue,1
4.8,187.282,354,36.5374,70.9078,1,blue,1
3.9,7.74,346,36.595,-121.2063333,1,blue,1
3.6,29.532,199,52.557,-166.9914,0,red,0
4.2,103.184,271,-6.2816,154.6952,1,blue,1
4.1,31.485,259,23.9374,122.5711,1,blue,1
3.81,14.0,224,17.9266,-66.9146,0,red,0
4.4,46.019,298,18.6319,120.9637,1,blue,1
4.3,33.676,284,10.069,126.5571,1,blue,1
4.8,106.733,355,-23.0742,-68.9221,1,pink,3
4.3,98.403,284,36.691,76.9958,1,blue,1
3.58,14.0,198,17.9275,-66.9091,0,red,0
3.5,29.11,188,52.247,-168.3156,0,red,0
4.1,90.462,259,-21.2221,-68.9621,1,blue,1
4.2,10.0,271,-12.8831,166.3007,1,blue,1
3.4,19.223,178,52.2879,-168.3001,0,red,0
5.1,595.724,400,-25.2057,178.5092,2,green,2
4.6,10.0,326,-13.8596,166.5448,1,blue,1
4.7,11.175,340,-60.8195,-51.0213,1,blue,1
5.5,30.83,467,-2.5533,140.8007,1,pink,3
5.8,10.0,518,-56.2415,-123.5343,1,pink,3
3.77,38.49,240,19.1401666666667,-156.197,0,red,0
5.35,30.63,1352,40.409,-123.971,1,pink,3
4.7,10.0,340,40.6042,-29.1424,1,blue,1
4.3,153.78,284,2.0751,128.135,1,blue,1
4.5,10.0,312,-3.4567,131.0209,1,blue,1
4.4,305.991,298,18.7635,145.3291,2,green,2
3.3,6.131567383,168,31.68425514,-104.421101,0,red,0
4.3,10.0,284,29.7295,70.1934,1,blue,1
4.4,201.911,298,-21.3126,-67.2105,1,blue,1
4.0,117.822,246,38.0399,72.3573,1,blue,1
4.4,496.363,298,-19.0542,-177.6062,2,green,2
